date,product,quantity,revinue
2024-01-01,Widget A,5,250.00
2024-01-02,Widget B,3,150.00
2024-01-03,Widget A,8,400.00
2024-01-04,Widget C,2,80.00
2024-01-05,Widget B,4,200.00
2024-01-06,Widget A,6,300.00
2024-01-07,Widget D,5,600.00
2024-01-08,Widget C,5,200.00
2024-01-09,Widget B,7,350.00
2024-01-10,Widget A,4,200.00
2024-01-11,Widget D,3,180.00
2024-01-12,Widget C,20,240.00
2024-01-13,Widget A,9,450.00
2024-01-14,Widget B,5,250.00
2024-01-15,Widget D,8,480.00
2024-01-16,Widget A,7,350.00
2024-01-17,Widget C,4,160.00
2024-01-18,Widget B,6,300.00
2024-01-19,Widget D,4,540.00
2024-01-20,Widget A,10,500.00
